Vivado Simulator 2018.3
Time resolution is 1 ps
time	 clk reset enable counter
0	 1   0     0      xxxx
5	 0   1     0      xxxx
10	 1   1     0      xxxx
11	 1   1     0      0000
15	 0   0     0      0000
20	 1   0     0      0000
25	 0   0     1      0000
30	 1   0     1      0000
31	 1   0     1      0001
35	 0   0     1      0001
40	 1   0     1      0001
41	 1   0     1      0010
45	 0   0     1      0010
50	 1   0     1      0010
51	 1   0     1      0011
55	 0   0     1      0011
60	 1   0     1      0011
61	 1   0     1      0100
65	 0   0     1      0100
70	 1   0     1      0100
71	 1   0     1      0101
75	 0   0     1      0101
80	 1   0     1      0101
81	 1   0     1      0110
85	 0   0     1      0110
90	 1   0     1      0110
91	 1   0     1      0111
95	 0   0     1      0111
100	 1   0     1      0111
101	 1   0     1      1000
105	 0   0     1      1000
110	 1   0     1      1000
111	 1   0     1      1001
115	 0   0     1      1001
120	 1   0     1      1001
121	 1   0     1      1010
125	 0   0     0      1010
$finish called at time : 130 ns : File "C:/Users/Rey Messon/Desktop/procesador_mips/project_16/project_16.srcs/sim_1/new/tb_first_counter.v" Line 45
